"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2122","Verify Registration Page is displayed successfully","chromium","2026-06-27","passed","2026-06-27","","registrationpage.spec.ts","",""
"","1167","Get User Details with optional filters","chromium","2026-06-27","passed","2026-06-27","","api/users.api.spec.ts","",""
"","2936","Verify search Functionality","chromium","2026-06-27","passed","2026-06-27","","search.spec.ts","",""
"","1794","Verify Account Login page is displayed successfully","chromium","2026-06-27","passed","2026-06-27","","loginpage.spec.ts","",""
"","3487","Verify product images count","chromium","2026-06-27","passed","2026-06-27","","productpage.spec.ts","",""
"","1052","GET -- get location data","chromium","2026-06-27","passed","2026-06-27","","api/amadeus.oauth2.spec.ts","",""
"","1844","Verify Account Login page is displayed successfully","chromium","2026-06-27","passed","2026-06-27","","loginpagefix.spec.ts","",""
"","2855","Verify the Home Page Title","chromium","2026-06-27","passed","2026-06-27","","homepagefix.spec.ts","",""
"","2661","Verify the Home Page Title","chromium","2026-06-27","passed","2026-06-27","","homepage.spec.ts","",""
