"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2232","Verify Account Login page is displayed successfully","chromium","2026-06-27","passed","2026-06-27","","loginpagefix.spec.ts","",""
"","1389","Get User Details with optional filters","chromium","2026-06-27","passed","2026-06-27","","api/users.api.spec.ts","",""
"","4064","Verify product images count","chromium","2026-06-27","passed","2026-06-27","","productpage.spec.ts","",""
"","2918","Verify the Home Page Title","chromium","2026-06-27","passed","2026-06-27","","homepagefix.spec.ts","",""
"","2289","Verify Registration Page is displayed successfully","chromium","2026-06-27","passed","2026-06-27","","registrationpage.spec.ts","",""
"","2127","Verify Account Login page is displayed successfully","chromium","2026-06-27","passed","2026-06-27","","loginpage.spec.ts","",""
"","3460","Verify search Functionality","chromium","2026-06-27","passed","2026-06-27","","search.spec.ts","",""
"","871","GET -- get location data","chromium","2026-06-27","passed","2026-06-27","","api/amadeus.oauth2.spec.ts","",""
"","3038","Verify the Home Page Title","chromium","2026-06-27","passed","2026-06-27","","homepage.spec.ts","",""
